EventId,EventTemplate,Occurrences
0,Component State Change: Component <*> is in the unavailable state (HWID=<*>),12
1,clusterAddMember (command <*>,2
2,risBoot (command <*>,1
3,bootGenvmunix (command <*>,2
4,boot (command <*>,67
5,wait (command <*>,66
6,halt (command <*>,3
7,Command has completed successfully,10
8,Targeting domains:<*> and nodes:<*> child of command <*>,5
9,Targeting domains:<*> and nodes:<*>,4
10,psu failure\ ambient=<*>,5
11,Temperature (<*>C) exceeds warning threshold,2
12,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,32
13,NIFF: node <*> detected a failed network connection on network <*> via interface alt0,2
14,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,1
15,Fan speeds ( <*> <*>),90
16,Command has been aborted,1
17,power/control problem,1
18,Link error,13
19,Link in reset,9
20,Link ok,13
21,Link error on broadcast tree Interconnect-<*>,4
22,ServerFileSystem: ServerFileSystem domain <*> is full,12
23,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node <*>,36
24,running,162
25,blocked,15
26,not responding,60
27,configured out,91
28,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok>,2
29,active,5
30,not-responding,1
31,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok>,1
32,starting,1
33,closing,1
34,inconsistent nodesets <*> <ok> <*> <ok> <*> <ok> <*> <ok> <*> <ok>,1
35,normal,206
36,warning,205
37,ambient=<*>,292
38,critical,20
39,Linkerror event interval expired,394
40,risBoot (command <*> Error: Timed out while waiting for SRM prompt: <*>,1
41,boot (command <*> Error: HALT asserted\ cannot continue,1
42,Failed subcommands <*>,1
43,link errors remain current,56
44,NIFF: node <*> has detected an available network connection on network <*> via interface <*>,91
