EventId,EventTemplate,Occurrences
0,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
1,Invalid user <*> from <*>,113
2,input_userauth_request: invalid user <*> [preauth],113
3,pam_unix(sshd:auth): check pass; user unknown,135
4,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,110
5,Failed password for invalid user <*> from <*> port <*> ssh2,135
6,Connection closed by <*> [preauth],34
7,Received disconnect from <*>: <*>: Bye Bye [preauth],413
8,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,384
9,Failed password for <*> from <*> port <*> ssh2,383
10,message repeated <*> times: [ Failed password for <*> from <*> port <*> ssh2],2
11,Disconnecting: Too many authentication failures for <*> [preauth],3
12,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>,2
13,PAM service(sshd) ignoring max retries; <*> > <*>,7
14,Did not receive identification string from <*>,10
15,error: Received disconnect from <*>: <*>: com.jcraft.jsch.JSchException: Auth fail [preauth],2
16,Received disconnect from <*>: <*>: Closed due to user request. [preauth],7
17,Failed none for invalid user <*> from <*> port <*> ssh2,4
18,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,6
19,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,2
20,error: Received disconnect from <*>: <*>: No more user authentication methods available. [preauth],45
21,Accepted password for <*> from <*> port <*> ssh2,1
22,pam_unix(sshd:session): session opened for user <*> by (uid=<*>),1
23,Received disconnect from <*>: <*>: disconnected by user,1
24,pam_unix(sshd:session): session closed for user <*>,1
25,fatal: Write failed: Connection reset by peer [preauth],1
