EventId,EventTemplate,Occurrences
0,Loaded Servicing Stack <*> with Core: <*>,2
1,<*>@<*> WcpInitialize (wcp.dll version <*> called (stack @<*>),6
2,Ending TrustedInstaller initialization.,2
3,Starting the TrustedInstaller main loop.,2
4,TrustedInstaller service starts successfully.,2
5,SQM: Initializing online with Windows opt-in: <*>,2
6,SQM: Cleaning up report files older than <*> days.,2
7,SQM: Requesting upload of all unsent reports.,2
8,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]",2
9,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
10,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
11,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],2
12,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
13,NonStart: Checking to ensure startup processing was not required.,2
14,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = NULL, phase = <*> pdwDisposition = @<*>",2
15,"<*> Creating NT transaction (seq <*>, objectname [<*>]""(<*>)""",3
16,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>",3
17,<*>@<*> CSI perf trace:,3
18,"NonStart: Success, startup processing not required as expected.",2
19,Startup processing thread terminated normally,2
20,<*> CSI Store <*> (<*>) initialized,3
21,Session: <*> initialized by client WindowsUpdateAgent.,608
22,Warning: Unrecognized packageExtended attribute.,280
23,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
24,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
25,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18
26,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",558
27,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION],2
28,Reboot mark refs incremented to: <*>,1
29,Scavenge: Starts,1
30,"<*>@<*> CSI Transaction @<*> initialized for deployment engine {<*>} with flags <*> and client id [<*>]""<*>_<*>/""",1
31,Scavenge: Begin CSI Store,1
32,<*> Performing <*> operations; <*> are not lock/unlock and follow:,1
33,"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
34,<*> ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>,1
35,"Scavenge: Completed, disposition: <*>",1
36,<*>@<*> CSI Transaction <*> destroyed,1
37,Reboot mark refs: <*>,1
38,Idle processing thread terminated normally,1
39,Ending the TrustedInstaller main loop.,1
40,Starting TrustedInstaller finalization.,1
41,Ending TrustedInstaller finalization.,1
42,Starting TrustedInstaller initialization.,1
43,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",8
44,Offline image is: read-only,1
45,"Disabling manifest caching, because the image is not writeable.",1
46,<*>@<*> PopulateComponentFamiliesKey - Begin,1
47,<*>@<*> PopulateComponentFamiliesKey - End,1
48,Session: <*> initialized by client SPP.,1
49,Unloading offline registry hive: <*>,8
