EventId,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = false",1
1,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>userId=<*>",199
3,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t761}}} -- going to hide,4
4,visible is <*>,5
5,mVisiblity.getValue is <*>,5
6,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
7,updateDimmedActivatedHideSensitive overlap:<*>,65
8,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
9,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
10,cancelAutohide,15
11,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
12,Destroying surface Surface(name=<*> called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>,1
13,Destroying surface Surface(name=<*>) called by <*>,24
14,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
15,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
16,"orientation change is complete, call stopFreezingDisplayLocked",1
17,Screen frozen for <*>ms due to Window{<*> u0 <*>},1
18,startAnimation begin,1
19,startAnimation end,1
20,remove(PendingIntent{<*>: PendingIntentRecord{<*>}}) changed bounds; rebatching,2
21,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
22,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
23,shouldBlockLocation running ...,37
24,shouldBlockLocation ret:<*>,37
25,getNeighboringCellInfo calling app is <*>,5
26,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
27,HBM brightnessIn =<*>,85
28,HBM brightnessOut =<*>,85
29,"Animating brightness: target=<*>, rate=<*>",85
30,suspendAutohide,23
31,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down true canceled false,7
32,"interceptKeyBeforeQueueing: key <*>, result : <*>",14
33,resumeSuspendedAutohide,10
34,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down false canceled false,7
35,querySoundEffectsEnabled...,17
36,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
37,Bad activity token: <*>,1
38,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to <*>,1
39,"onTouchEvent::<*>, x=<*>, y=<*>",2
40,schedulePeek,1
41,getRingtonePlayer...,2
42,disable: < expand <*>* alerts <*>_<*>* back home recent clock navigationbar search quick_settings >,6
43,"updateLightsLocked,mInCall =<*>,mScreenOn = true,ledNotification == <*>?true",4
44,"updateLightsLocked,turn off notificationLight",6
