EventId,EventTemplate,Occurrences
0,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,117
1,check pass; user unknown,117
2,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,372
3,session opened for user <*> by (uid=<*>),122
4,session closed for user <*>,123
5,ALERT exited abnormally with [<*>],43
6,connection from <*> (<*>) at <*> <*> <*> <*> <*>,909
7,User unknown timed out after <*> seconds at Sat Jun <*> <*> <*>,1
8,cupsd shutdown succeeded,6
9,restart.,7
10,Received SNMP packet(s) from <*>,1
11,Authentication failed from <*> (<*>.<*>.<*>.<*>): Permission denied in replay cache code,8
12,Kerberos authentication failed,23
13,Authentication failed from <*> (<*>.<*>.<*>.<*>): Software caused connection abort,15
14,*** info [mice.c(<*>)]:,1
15,imps2: Auto-detected intellimouse PS/<*>,1
16,session opened for user <*> by LOGIN(uid=<*>),1
17,ROOT LOGIN ON tty2,1
18,removing device node '<*>,4
19,creating device node '<*>,4
20,authentication failure; logname= uid=<*> euid=<*> tty=:0 ruser= rhost=,1
21,Couldn't authenticate user,1
22,ANONYMOUS FTP LOGIN FROM <*>,2
23,notify question section contains no SOA,16
24,getpeername (ftpd): Transport endpoint is not connected,4
25,warning: can't get client address: Connection reset by peer,2
26,klogd <*>,2
27,Linux version <*> (bhcompile@bugs.build.redhat.com) (gcc version <*> <*> (Red Hat Linux <*> <*> Sat May <*> <*> EDT <*>,1
28,BIOS-provided physical RAM map:,1
29,BIOS-e820: <*> - <*> (usable),2
30,BIOS-e820: <*> - <*> (reserved),3
31,<*> HIGHMEM available.,1
32,<*> LOWMEM available.,1
33,zapping low mappings.,1
34,On node <*> totalpages: <*>,1
35,"DMA zone: <*> pages, LIFO batch:<*>",1
36,"Normal zone: <*> pages, LIFO batch:<*>",1
37,<*> startup succeeded,13
38,"HighMem zone: <*> pages, LIFO batch:<*>",1
39,DMI <*> present.,1
40,ACPI disabled because your bios is from <*> and too old,1
41,You can enable it with acpi=<*>,1
42,Built <*> zonelists,1
43,Kernel command line: ro root=LABEL=/ rhgb quiet,1
44,mapped 4G/4G trampoline to <*>.,1
45,Initializing CPU#<*>,1
46,"CPU <*> irqstacks, hard=<*> soft=<*>",1
47,PID hash table entries: <*> (order <*>),1
48,Detected <*> MHz processor.,1
49,Version <*> Starting,1
50,Using tsc for high-res timesource,1
51,Console: colour VGA+ <*>,1
52,"Memory: <*>k/129720k available (1540k kernel code, <*>k reserved, <*>k data, <*>k init, <*>k highmem)",1
53,Calibrating delay loop... <*> BogoMIPS,1
54,Security Scaffold <*> initialized,1
55,SELinux: Initializing.,1
56,SELinux: Starting in permissive mode,1
57,"There is already a security framework initialized, register_security failed.",1
58,Failure registering capabilities with the kernel,1
59,selinux_register_security: Registering secondary module capability,1
60,Capability LSM initialized,1
61,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)",1
62,"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)",1
63,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)",1
64,"CPU: L1 I cache: <*>, L1 D cache: <*>",1
65,CPU: L2 cache: <*>,1
66,Intel machine check architecture supported.,1
67,Intel machine check reporting enabled on CPU#<*>.,1
68,CPU: Intel Pentium III (Coppermine) stepping <*>,1
69,Enabling fast FPU save and restore... done.,1
70,Enabling unmasked SIMD FPU exception support... done.,1
71,Checking 'hlt' instruction... OK.,1
72,Initializing random number generator: succeeded,1
73,POSIX conformance testing by UNIFIX,1
74,NET: Registered protocol family <*>,1
75,PCI: PCI BIOS revision <*> entry at <*>,1
76,PCI: Using configuration type <*>,1
77,mtrr: <*> (20020519),1
78,ACPI: Subsystem revision <*>,1
79,ACPI: Interpreter disabled.,1
80,Linux Plug and Play Support <*> (c) Adam Belay,1
81,Starting pcmcia: succeeded,1
82,usbcore: registered new driver usbfs,1
83,usbcore: registered new driver hub,1
84,ACPI: ACPI tables contain no PCI IRQ routing entries,1
85,PCI: Invalid ACPI-PCI IRQ routing table,1
86,PCI: Probing PCI hardware,1
87,PCI: Probing PCI hardware (bus <*>),1
88,Transparent bridge - <*>,1
89,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>,1
90,apm: BIOS version <*> Flags <*> (Driver version <*>ac),1
91,audit: initializing netlink socket (disabled),1
92,kernel.core_uses_pid = <*>,1
93,HCI daemon ver <*> started,1
94,<*> initialized,1
95,Setting network parameters: succeeded,1
96,sdpd <*> started,1
97,"Total HugeTLB memory allocated, <*>",1
98,Bringing up loopback interface: succeeded,1
99,VFS: Disk quotas <*>,1
100,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)",1
101,SELinux: Registering netfilter hooks,1
102,Initializing Cryptographic API,1
103,pci_hotplug: PCI Hot Plug PCI Core version: <*>,1
104,isapnp: Scanning for PnP cards...,1
105,isapnp: No Plug & Play device found,1
106,Real Time Clock Driver <*>,1
107,Linux agpgart interface <*> (c) Dave Jones,1
