EventId,EventTemplate,Occurrences
0,IOThunderboltSwitch<*>>(<*>::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
1,Thermal pressure state: <*> Memory pressure state: <*>,39
2,FA||Url||taskID[<*>] dealloc,17
3,ARPT: <*> <*> WWEN[enabled],12
4,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
5,mDNS_DeregisterInterface: Frequent transitions for interface <*> (<*>),5
6,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",7
7,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",6
8,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
9,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
10,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
11,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
12,AppleCamIn::systemWakeCall - messageType = <*>,56
13,"setting hostname to ""<*>",7
14,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",45
15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
16,[<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,3
17,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",35
18,AirPort: Link Down on <*>. Reason <*> (Unspecified).,7
19,"PM response took <*> (<*>, powerd)",9
20,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>, last RSSI <*>",4
21,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
22,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",24
23,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
24,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
25,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
26,com.apple.Addres(<*>) deny network-outbound <*>,29
27,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
28,AirPort: Link Up on <*>,13
29,Sandbox: <*> deny(<*>) network-outbound <*>,29
30,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
31,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
32,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
33,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
34,en0::IO80211Interface::postMessage bssid changed,10
35,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",32
36,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,6
37,mDNS_RegisterInterface: Frequent transitions for interface <*> (<*>),4
38,AppleCamIn::wakeEventHandlerThread,20
39,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",8
40,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*> confidence=<*> from=(null)/(null) (UABestAppSuggestionManager.m #<*>),14
41,en0: channel changed to <*>,20
42,ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>) 0 0 0 <*>,7
43,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>",15
44,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
45,Unrecognized attribute value: t:<*>,8
46,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
47,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
48,<*> : BTLE scanner Powered On,8
49,button report: <*>,20
50,<*> : BTLE discovered device with hash <*>,1
51,"securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
52,Location icon should now be in state 'Inactive',20
53,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
54,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,4
55,__<*>-[NETClientConnection evaluateCrazyIvan<*>]_block_invoke CI<*> - Hit by torpedo! QQ.<*> tc<*> <*>.<*>.<*>.<*>:<*>,9
56,"Setting BTCoex Config: enable_2G:<*>, profile_2g:<*>, enable_5G:<*>, profile_5G:<*>",7
57,Captive: [CNInfoNetworkActive:<*>] en0: SSID '<*> making interface primary (cache indicates network not captive),3
58,"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",19
59,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
60,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
61,<*> : Finished generating hashes,1
62,Captive: CNPluginHandler <*>: Evaluating,4
63,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] Network is down,3
64,AirPort: Link Down on <*>. Reason <*> (Disassociated because station leaving).,5
65,"USBMSC Identifier (non-unique): <*> 0x<*> 0x<*> 0x<*>, <*>",12
66,CCXPCService::setStreamEventHandler Registered for notification callback.,2
67,[<*>/<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,4
68,Saw change in network reachability (isReachable=<*>),4
69,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x<*>),8
70,en0: BSSID changed to <*>,16
71,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
72,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
73,RTC: Maintenance <*> <*> sleep <*> <*>,5
74,RTC: PowerByCalendarDate setting ignored,11
75,Location icon should now be in state 'Active',17
76,en0: <*> country code set to '<*>'.,5
77,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
78,QQ(<*>) deny mach-lookup <*>,6
79,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
80,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,1
81,PMStats: Hibernate read took <*>,1
82,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,13
83,"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>",4
84,VDCAssistant: Found a camera (0x<*> -- (os/kern) successful),1
85,handle_will_sleep_auth_and_shield_windows: Reordering authw <*> (lock state: <*>),1
