EventId,EventTemplate,Occurrences
0,"<*> ""GET <*> <*>"" status: <*> len: <*> time: <*>",931
1,[instance: <*>] VM Started (Lifecycle Event),22
2,[instance: <*>] VM Paused (Lifecycle Event),22
3,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,43
4,image <*> at (<*>): checking,82
5,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
6,Active base files: <*>,82
7,Creating event network-vif-plugged:<*> for instance <*>,22
8,"<*> ""POST <*> <*>"" status: <*> len: <*> time: <*>",64
9,[instance: <*>] VM Resumed (Lifecycle Event),44
10,[instance: <*>] Instance spawned successfully.,22
11,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
12,[instance: <*>] Took <*> seconds to build instance.,22
13,Auditing locally available compute resources for node <*>,15
14,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
15,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[],15
16,Compute_service record updated for <*>:<*>,15
17,"<*> ""DELETE <*> <*>"" status: <*> len: <*> time: <*>",22
18,[instance: <*>] Terminating instance,22
19,[instance: <*>] Instance destroyed successfully.,22
20,[instance: <*>] Deleting instance files <*>,21
21,[instance: <*>] Deletion of <*> complete,21
22,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
23,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
24,Unknown base file: <*>,30
25,Removable base files: <*>,30
26,Removing base or swap file: <*>,21
27,HTTP exception thrown: No instances found for any event,21
28,"[instance: <*>] Attempting claim: memory <*>, disk <*>, vcpus <*> CPU",21
29,"[instance: <*>] Total memory: <*>, used: <*>",21
30,"[instance: <*>] memory limit: <*>, free: <*>",21
31,"[instance: <*>] Total disk: <*>, used: <*>",21
32,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
33,"[instance: <*>] Total vcpu: <*>, used: <*>",21
34,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
35,[instance: <*>] Claim successful,21
36,[instance: <*>] Creating image,21
37,[instance: <*>] VM Stopped (Lifecycle Event),21
38,Successfully synced instances from host '<*>'.,2
39,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
40,Base or swap file too young to remove: <*>,9
41,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
42,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
